cpu_a,cpu_b,ns_min,ns_median,ns_max
0,1,18.7,19.2,20.6
0,2,20.0,20.5,22.5
0,3,18.7,19.8,20.7
0,4,67.5,72.7,121.2
0,5,65.6,103.6,125.1
0,6,106.6,139.6,168.3
0,7,63.2,77.9,98.7
0,8,75.9,107.7,170.6
0,9,89.1,130.0,168.2
0,10,99.6,140.2,170.2
0,11,74.3,101.0,132.3
1,2,19.2,19.4,21.0
1,3,19.8,19.9,21.9
1,4,66.2,75.1,131.1
1,5,62.9,70.5,108.5
1,6,63.5,63.8,72.5
1,7,62.4,83.1,102.9
1,8,68.1,71.8,102.7
1,9,76.0,102.9,138.2
1,10,78.3,103.6,110.8
1,11,69.8,93.7,110.2
2,3,19.9,20.2,20.4
2,4,67.0,88.2,100.9
2,5,64.2,90.4,168.7
2,6,65.0,88.1,151.0
2,7,63.0,70.1,145.1
2,8,98.5,120.8,168.9
2,9,79.3,89.9,162.3
2,10,107.3,116.9,169.8
2,11,64.7,114.7,169.1
3,4,68.0,69.0,77.8
3,5,74.6,98.7,140.4
3,6,100.0,115.6,168.1
3,7,106.9,129.7,167.3
3,8,90.4,118.4,168.8
3,9,78.7,113.2,168.8
3,10,98.7,119.2,170.3
3,11,88.3,128.7,168.9
4,5,30.2,31.0,37.1
4,6,30.6,30.8,31.7
4,7,29.4,30.2,30.5
4,8,30.0,30.6,34.9
4,9,30.5,30.8,32.0
4,10,29.8,32.8,33.0
4,11,32.3,32.5,32.8
5,6,29.4,29.4,29.5
5,7,28.4,28.7,28.8
5,8,30.5,30.6,31.2
5,9,28.8,29.5,29.6
5,10,29.2,31.5,31.7
5,11,30.5,30.7,30.8
6,7,28.5,28.7,28.9
6,8,29.7,29.8,29.9
6,9,29.6,29.7,30.1
6,10,30.8,35.6,36.6
6,11,30.5,30.6,30.7
7,8,29.8,29.9,29.9
7,9,28.5,28.7,28.8
7,10,30.8,31.0,31.3
7,11,29.6,29.8,29.9
8,9,29.5,29.7,30.7
8,10,31.0,33.7,37.8
8,11,30.4,32.2,33.8
9,10,30.5,30.7,31.5
9,11,29.5,29.6,30.5
10,11,30.4,30.7,36.2
0,12,16.7,17.4,25.3
4,16,18.8,19.0,19.1
8,20,26.2,26.6,27.8
