mode,bytes,ns,cycles,ghz,drift_pct
random,8192,0.795,3.89,4.892,+8.2
seq,8192,0.779,3.92,5.033,-1.1
huge,8192,0.778,3.91,5.022,+0.7
random,12288,0.780,3.93,5.039,+1.1
seq,12288,0.778,3.94,5.061,+1.0
huge,12288,0.781,3.96,5.063,-1.3
random,18432,0.778,3.91,5.021,+1.3
seq,18432,0.779,3.93,5.045,-1.0
huge,18432,0.779,3.88,4.985,+0.3
random,27648,0.786,3.88,4.937,-2.0
seq,27648,0.780,3.91,5.021,+2.1
huge,27648,0.780,3.95,5.063,-1.1
random,41472,0.782,3.92,5.021,-0.4
seq,41472,0.779,3.91,5.018,+1.2
huge,41472,0.791,3.99,5.045,+0.2
random,62208,2.724,13.75,5.047,+0.7
seq,62208,0.836,4.24,5.069,+0.0
huge,62208,2.719,13.68,5.030,+0.6
random,93312,2.727,13.73,5.034,-0.8
seq,93312,0.818,4.11,5.020,+0.7
huge,93312,2.724,13.81,5.070,+0.2
random,139968,2.726,13.85,5.080,-0.4
seq,139968,0.805,4.08,5.068,+0.1
huge,139968,2.729,13.77,5.046,+0.2
random,209920,2.728,13.72,5.028,-1.9
seq,209920,0.797,4.02,5.041,-1.2
huge,209920,2.730,13.70,5.021,-1.3
random,314880,2.731,13.79,5.048,+0.8
seq,314880,0.791,4.01,5.064,-0.2
huge,314880,2.739,13.84,5.053,-0.2
random,472384,2.980,14.98,5.026,+0.4
seq,472384,0.788,3.95,5.008,+0.5
huge,472384,2.982,15.03,5.039,+0.5
random,708544,3.928,19.89,5.064,-0.2
seq,708544,0.836,4.25,5.081,+0.4
huge,708544,3.981,20.24,5.083,+0.2
random,1062848,5.291,26.78,5.062,+0.1
seq,1062848,0.895,4.43,4.947,-0.5
huge,1062848,5.535,27.57,4.982,+1.4
random,1594304,7.848,39.60,5.047,+1.0
seq,1594304,0.927,4.69,5.061,+0.3
huge,1594304,7.735,38.98,5.040,-0.3
random,2391424,8.765,44.29,5.053,+1.0
seq,2391424,0.892,4.37,4.897,-6.6
huge,2391424,7.383,37.64,5.099,+0.3
random,3587200,9.682,48.49,5.008,-3.5
seq,3587200,0.858,4.27,4.973,+2.3
huge,3587200,8.924,44.91,5.033,-0.6
random,5380800,10.390,52.10,5.015,+0.7
seq,5380800,0.878,4.42,5.037,+1.0
huge,5380800,9.402,47.67,5.070,-0.4
random,8071232,14.021,70.89,5.056,-0.5
seq,8071232,0.875,4.43,5.062,+0.1
huge,8071232,10.940,54.88,5.016,-1.0
random,12106880,37.227,187.59,5.039,+1.7
seq,12106880,0.944,4.79,5.078,+0.3
huge,12106880,12.541,63.51,5.064,-0.2
random,18160320,71.200,359.25,5.046,-0.2
seq,18160320,1.103,5.53,5.013,+0.7
huge,18160320,30.024,152.28,5.072,+1.7
random,27240448,74.626,377.66,5.061,-1.2
seq,27240448,1.224,6.19,5.058,+1.1
huge,27240448,68.224,341.02,4.999,-2.5
random,40860736,92.705,461.74,4.981,+1.6
seq,40860736,1.921,9.67,5.032,+0.9
huge,40860736,80.518,405.10,5.031,-0.5
random,61291072,97.124,489.46,5.040,+0.5
seq,61291072,1.479,7.48,5.058,+0.6
huge,61291072,90.381,456.91,5.055,+0.4
random,91936640,103.876,524.70,5.051,+0.2
seq,91936640,1.687,8.50,5.039,-0.1
huge,91936640,93.244,459.49,4.928,-4.8
random,137904960,102.508,506.94,4.945,-2.1
seq,137904960,1.822,9.04,4.963,+3.2
huge,137904960,104.347,526.06,5.041,+1.3
random,206857472,107.636,540.81,5.024,-1.7
seq,206857472,1.737,8.66,4.988,+0.2
huge,206857472,95.942,482.16,5.026,+1.1
