part,stride,ns_per_access,useful_GBps,fetched_GBps
stride,8,0.199,40.22,40.22
stride,16,0.435,18.41,36.82
stride,32,0.892,8.97,35.87
stride,64,1.929,4.15,33.17
stride,128,1.980,4.04,32.32
stride,256,2.104,3.80,30.42
stride,512,3.399,2.35,18.83
stride,1024,3.458,2.31,18.51
stride,2048,4.813,1.66,13.30
stride,4096,9.533,0.84,6.71
stride,8192,11.699,0.68,5.47
part,bytes,read_GBps,write_GBps,
bw,16384,234.02,321.14,
bw,32768,197.35,322.30,
bw,65536,174.28,238.67,
bw,131072,164.57,309.28,
bw,262144,163.41,243.14,
bw,524288,161.80,311.22,
bw,1048576,157.41,192.29,
bw,2097152,155.73,151.79,
bw,4194304,155.12,151.17,
bw,8388608,155.73,148.75,
bw,16777216,133.86,123.36,
bw,33554432,57.46,25.73,
bw,67108864,43.58,19.68,
bw,134217728,40.45,18.27,
bw,268435456,39.24,16.90,
