pages,span_kb,data_kb,ns_4k,ns_2m,ratio
16,64,1,0.780,0.779,1.00
24,96,1,0.779,0.778,1.00
32,128,2,0.778,0.778,1.00
48,192,3,0.778,0.779,1.00
64,256,4,0.778,0.778,1.00
80,320,5,0.778,0.779,1.00
96,384,6,0.779,0.779,1.00
112,448,7,2.142,2.142,1.00
128,512,8,2.142,2.142,1.00
160,640,10,2.142,2.139,1.00
192,768,12,2.141,2.144,1.00
256,1024,16,2.142,2.143,1.00
384,1536,24,2.141,2.142,1.00
512,2048,32,2.142,0.778,2.75
768,3072,48,2.148,1.234,1.74
1024,4096,64,4.085,2.724,1.50
1536,6144,96,4.089,2.724,1.50
2048,8192,128,4.149,2.725,1.52
3072,12288,192,4.413,2.792,1.58
4096,16384,256,4.699,2.786,1.69
6144,24576,384,7.629,2.780,2.74
8192,32768,512,8.888,2.813,3.16
12288,49152,768,12.365,6.443,1.92
16384,65536,1024,17.831,8.625,2.07
24576,98304,1536,18.388,9.749,1.89
32768,131072,2048,19.720,10.206,1.93
49152,196608,3072,20.486,13.394,1.53
65536,262144,4096,21.949,17.539,1.25
