part,bytes,scalar_GBps,avx2_GBps,avx512_GBps
width,16384,59.7,226.0,315.6
width,32768,57.1,222.1,318.4
width,65536,55.9,218.4,222.4
width,131072,55.3,217.3,226.4
width,262144,55.1,216.4,229.6
width,524288,54.9,216.9,285.2
width,1048576,54.6,171.0,190.0
width,2097152,54.5,143.3,147.3
width,4194304,54.1,131.5,130.7
width,8388608,53.9,137.6,150.4
width,16777216,51.0,100.4,116.1
width,33554432,50.5,58.0,57.5
width,67108864,44.5,43.9,46.5
width,134217728,39.8,38.1,40.3
width,268435456,39.0,38.9,38.3
part,offset_bytes,avx512_GBps,,
align,0,316.8,,
align,8,218.1,,
align,16,219.2,,
align,24,218.5,,
align,32,218.6,,
align,40,218.2,,
align,48,218.8,,
align,56,218.7,,
